기준년월,지자체,방문자 구분,방문자수
202303,인천광역시,외부방문자(b+c),1.5620369E7
202303,인천광역시,전체방문자(a+b+c),5.7595215E7
202303,광주광역시,현지인방문자(a),2.3691192E7
202303,광주광역시,외지인방문자(b),6137498.0
202303,광주광역시,외국인방문자(c),3515.0
202303,광주광역시,외부방문자(b+c),6141014.0
202303,광주광역시,전체방문자(a+b+c),2.9832206E7
202303,대전광역시,현지인방문자(a),2.419698E7
202303,대전광역시,외지인방문자(b),7722176.0
202303,대전광역시,외국인방문자(c),6958.0
202303,대전광역시,외부방문자(b+c),7729134.0
202303,대전광역시,전체방문자(a+b+c),3.1926115E7
202303,울산광역시,현지인방문자(a),1.7845754E7
202303,울산광역시,외지인방문자(b),4297657.0
202303,울산광역시,외국인방문자(c),4070.0
202303,울산광역시,외부방문자(b+c),4301727.0
202303,울산광역시,전체방문자(a+b+c),2.2147482E7
202303,세종특별자치시,현지인방문자(a),5823629.0
202303,세종특별자치시,외지인방문자(b),2690496.0
202303,세종특별자치시,외국인방문자(c),2180.0
202303,세종특별자치시,외부방문자(b+c),2692676.0
202303,세종특별자치시,전체방문자(a+b+c),8516305.0
202303,경기도,현지인방문자(a),2.0978126E8
202303,경기도,외지인방문자(b),5.6997493E7
202303,경기도,외국인방문자(c),93534.0
202303,경기도,외부방문자(b+c),5.7091027E7
202303,경기도,전체방문자(a+b+c),2.66872287E8
202303,충청북도,현지인방문자(a),2.6185498E7
202303,충청북도,외지인방문자(b),1.0033978E7
202303,충청북도,외국인방문자(c),14846.0
202303,충청북도,외부방문자(b+c),1.0048824E7
202303,충청북도,전체방문자(a+b+c),3.6234323E7
202303,충청남도,현지인방문자(a),3.480631E7
202303,충청남도,외지인방문자(b),1.486009E7
202303,충청남도,외국인방문자(c),26378.0
202303,충청남도,외부방문자(b+c),1.4886468E7
202303,충청남도,전체방문자(a+b+c),4.9692778E7
202303,전라북도,현지인방문자(a),3.2892412E7
202303,전라북도,외지인방문자(b),8103039.0
202303,전라북도,외국인방문자(c),7016.0
202303,전라북도,외부방문자(b+c),8110055.0
202303,전라북도,전체방문자(a+b+c),4.1002467E7
202303,전라남도,현지인방문자(a),3.1477334E7
202303,전라남도,외지인방문자(b),1.1146737E7
202303,전라남도,외국인방문자(c),5924.0
202303,전라남도,외부방문자(b+c),1.1152661E7
202303,전라남도,전체방문자(a+b+c),4.2629995E7
202303,경상북도,현지인방문자(a),4.572806E7
202303,경상북도,외지인방문자(b),1.5815412E7
202303,경상북도,외국인방문자(c),8651.0
202303,경상북도,외부방문자(b+c),1.5824062E7
202303,경상북도,전체방문자(a+b+c),6.1552122E7
202303,경상남도,현지인방문자(a),5.3177148E7
202303,경상남도,외지인방문자(b),1.3747083E7
202303,경상남도,외국인방문자(c),14060.0
202303,경상남도,외부방문자(b+c),1.3761143E7
202303,경상남도,전체방문자(a+b+c),6.6938292E7
202303,제주특별자치도,현지인방문자(a),1.7655757E7
202303,제주특별자치도,외지인방문자(b),5266828.0
202303,제주특별자치도,외국인방문자(c),8062.0
202303,제주특별자치도,외부방문자(b+c),5274890.0
202303,제주특별자치도,전체방문자(a+b+c),2.2930647E7
202303,강원특별자치도,현지인방문자(a),3.0238866E7
202303,강원특별자치도,외지인방문자(b),1.2137069E7
202303,강원특별자치도,외국인방문자(c),13842.0
202303,강원특별자치도,외부방문자(b+c),1.2150911E7
202303,강원특별자치도,전체방문자(a+b+c),4.2389777E7
202304,서울특별시,현지인방문자(a),1.40546906E8
202304,서울특별시,외지인방문자(b),4.4422917E7
202304,서울특별시,외국인방문자(c),602849.0
202304,서울특별시,외부방문자(b+c),4.5025766E7
202304,서울특별시,전체방문자(a+b+c),1.85572672E8
202304,부산광역시,현지인방문자(a),4.6012568E7
202304,부산광역시,외지인방문자(b),1.1330249E7
202304,부산광역시,외국인방문자(c),159096.0
202304,부산광역시,외부방문자(b+c),1.1489345E7
202304,부산광역시,전체방문자(a+b+c),5.7501913E7
202304,대구광역시,현지인방문자(a),3.7480642E7
202304,대구광역시,외지인방문자(b),7756126.0
202304,대구광역시,외국인방문자(c),26787.0
202304,대구광역시,외부방문자(b+c),7782913.0
202304,대구광역시,전체방문자(a+b+c),4.5263556E7
202304,인천광역시,현지인방문자(a),3.9418295E7
202304,인천광역시,외지인방문자(b),1.3465466E7
202304,인천광역시,외국인방문자(c),364631.0
202304,인천광역시,외부방문자(b+c),1.3830097E7
202304,인천광역시,전체방문자(a+b+c),5.3248392E7
202304,광주광역시,현지인방문자(a),2.2426229E7
202304,광주광역시,외지인방문자(b),4883260.0
202304,광주광역시,외국인방문자(c),9151.0
202304,광주광역시,외부방문자(b+c),4892411.0
202304,광주광역시,전체방문자(a+b+c),2.731864E7
202304,대전광역시,현지인방문자(a),2.3085958E7
202304,대전광역시,외지인방문자(b),6231012.0
202304,대전광역시,외국인방문자(c),10914.0
202304,대전광역시,외부방문자(b+c),6241925.0
202304,대전광역시,전체방문자(a+b+c),2.9327883E7
202304,울산광역시,현지인방문자(a),1.714705E7
202304,울산광역시,외지인방문자(b),3728946.0
202304,울산광역시,외국인방문자(c),20103.0
202304,울산광역시,외부방문자(b+c),3749049.0
202304,울산광역시,전체방문자(a+b+c),2.0896098E7
202304,세종특별자치시,현지인방문자(a),5544154.0
202304,세종특별자치시,외지인방문자(b),2173804.0
202304,세종특별자치시,외국인방문자(c),3477.0
202304,세종특별자치시,외부방문자(b+c),2177281.0
202304,세종특별자치시,전체방문자(a+b+c),7721435.0
202304,경기도,현지인방문자(a),1.98545718E8
202304,경기도,외지인방문자(b),4.8758787E7
202304,경기도,외국인방문자(c),226826.0
202304,경기도,외부방문자(b+c),4.8985613E7
202304,경기도,전체방문자(a+b+c),2.47531331E8
202304,충청북도,현지인방문자(a),2.5064711E7
202304,충청북도,외지인방문자(b),9069074.0
202304,충청북도,외국인방문자(c),22642.0
202304,충청북도,외부방문자(b+c),9091716.0
202304,충청북도,전체방문자(a+b+c),3.4156427E7
202304,충청남도,현지인방문자(a),3.3314876E7
202304,충청남도,외지인방문자(b),1.3524164E7
202304,충청남도,외국인방문자(c),38892.0
202304,충청남도,외부방문자(b+c),1.3563057E7
202304,충청남도,전체방문자(a+b+c),4.6877933E7
202304,전라북도,현지인방문자(a),3.1510622E7
202304,전라북도,외지인방문자(b),7583096.0
202304,전라북도,외국인방문자(c),20956.0
202304,전라북도,외부방문자(b+c),7604052.0
202304,전라북도,전체방문자(a+b+c),3.9114675E7
202304,전라남도,현지인방문자(a),3.0130348E7
202304,전라남도,외지인방문자(b),1.1018892E7
202304,전라남도,외국인방문자(c),26612.0
202304,전라남도,외부방문자(b+c),1.1045504E7
202304,전라남도,전체방문자(a+b+c),4.1175853E7
202304,경상북도,현지인방문자(a),4.3811744E7
202304,경상북도,외지인방문자(b),1.4299614E7
202304,경상북도,외국인방문자(c),32485.0
202304,경상북도,외부방문자(b+c),1.4332099E7
202304,경상북도,전체방문자(a+b+c),5.8143843E7
202304,경상남도,현지인방문자(a),5.0708486E7
202304,경상남도,외지인방문자(b),1.2409229E7
202304,경상남도,외국인방문자(c),46620.0
202304,경상남도,외부방문자(b+c),1.2455849E7
202304,경상남도,전체방문자(a+b+c),6.3164335E7
202304,제주특별자치도,현지인방문자(a),1.6894826E7
202304,제주특별자치도,외지인방문자(b),5061833.0
202304,제주특별자치도,외국인방문자(c),61365.0
202304,제주특별자치도,외부방문자(b+c),5123198.0
202304,제주특별자치도,전체방문자(a+b+c),2.2018023E7
202304,강원특별자치도,현지인방문자(a),2.8644102E7
202304,강원특별자치도,외지인방문자(b),1.1124407E7
202304,강원특별자치도,외국인방문자(c),39789.0
202304,강원특별자치도,외부방문자(b+c),1.1164196E7
202304,강원특별자치도,전체방문자(a+b+c),3.9808297E7
202305,서울특별시,현지인방문자(a),1.54129426E8
202305,서울특별시,외지인방문자(b),4.8890608E7
202305,서울특별시,외국인방문자(c),615854.0
202305,서울특별시,외부방문자(b+c),4.9506462E7
202305,서울특별시,전체방문자(a+b+c),2.03635888E8
202305,부산광역시,현지인방문자(a),4.9767123E7
202305,부산광역시,외지인방문자(b),1.2296326E7
202305,부산광역시,외국인방문자(c),158896.0
202305,부산광역시,외부방문자(b+c),1.2455222E7
202305,부산광역시,전체방문자(a+b+c),6.2222345E7
202305,대구광역시,현지인방문자(a),3.955092E7
202305,대구광역시,외지인방문자(b),8309998.0
202305,대구광역시,외국인방문자(c),30175.0
202305,대구광역시,외부방문자(b+c),8340172.0
202305,대구광역시,전체방문자(a+b+c),4.7891093E7
202305,인천광역시,현지인방문자(a),4.3145515E7
202305,인천광역시,외지인방문자(b),1.5536388E7
202305,인천광역시,외국인방문자(c),369639.0
202305,인천광역시,외부방문자(b+c),1.5906027E7
202305,인천광역시,전체방문자(a+b+c),5.9051542E7
202305,광주광역시,현지인방문자(a),2.4261864E7
202305,광주광역시,외지인방문자(b),5579196.0
202305,광주광역시,외국인방문자(c),8534.0
202305,광주광역시,외부방문자(b+c),5587730.0
202305,광주광역시,전체방문자(a+b+c),2.9849593E7
202305,대전광역시,현지인방문자(a),2.4993528E7
202305,대전광역시,외지인방문자(b),6633008.0
202305,대전광역시,외국인방문자(c),11224.0
202305,대전광역시,외부방문자(b+c),6644232.0
202305,대전광역시,전체방문자(a+b+c),3.163776E7
202305,울산광역시,현지인방문자(a),1.8137889E7
202305,울산광역시,외지인방문자(b),4282096.0
202305,울산광역시,외국인방문자(c),24442.0
202305,울산광역시,외부방문자(b+c),4306538.0
202305,울산광역시,전체방문자(a+b+c),2.2444427E7
202305,세종특별자치시,현지인방문자(a),6141359.0
202305,세종특별자치시,외지인방문자(b),2314770.0
202305,세종특별자치시,외국인방문자(c),3414.0
202305,세종특별자치시,외부방문자(b+c),2318185.0
202305,세종특별자치시,전체방문자(a+b+c),8459544.0
