기준년월,지자체,KTO업종중분류명,소비금액,전년동기소비금액,구성비,전년대비소비증감률
202307,서울특별시,여행업,690823.0,276453.0,0.2,149.9
202307,서울특별시,항공운송,1373872.0,763203.0,0.4,80.0
202307,서울특별시,렌터카,224441.0,176997.0,0.1,26.8
202307,서울특별시,면세점,2.9892562E7,5167359.0,8.4,478.5
202307,서울특별시,관광기념품,7321261.0,415376.0,2.1,1662.6
202307,서울특별시,레저용품쇼핑,7353811.0,2365193.0,2.1,210.9
202307,서울특별시,대형쇼핑몰,1.16438192E8,4.8125832E7,32.9,141.9
202307,서울특별시,관광유원시설,718310.0,174175.0,0.2,312.4
202307,서울특별시,골프장,341562.0,169667.0,0.1,101.3
202307,서울특별시,기타레저,1259.0,1604.0,0.0,-21.5
202307,서울특별시,문화서비스,2538941.0,341200.0,0.7,644.1
202307,서울특별시,식음료,6.973566E7,2.7671589E7,19.7,152.0
202307,서울특별시,육상운송,222999.0,69073.0,0.1,222.8
202307,서울특별시,수상운송,30986.0,26671.0,0.0,16.2
202307,서울특별시,카지노,3.1196493E7,1.253098E7,8.8,149.0
202308,서울특별시,관광총소비,3.44232249E8,1.34140557E8,100.0,156.6
202308,서울특별시,호텔,7.1263219E7,3.2648985E7,20.7,118.3
202308,서울특별시,콘도,222681.0,111485.0,0.1,99.7
202308,서울특별시,캠핑장/펜션,820.0,0.0,0.0,0.0
202308,서울특별시,기타숙박,1.4630063E7,6563595.0,4.3,122.9
202308,서울특별시,여행업,641198.0,243211.0,0.2,163.6
202308,서울특별시,항공운송,1338232.0,759368.0,0.4,76.2
202308,서울특별시,렌터카,235661.0,155570.0,0.1,51.5
202308,서울특별시,면세점,3.6502298E7,5016893.0,10.6,627.6
202308,서울특별시,관광기념품,6864574.0,601096.0,2.0,1042.0
202308,서울특별시,레저용품쇼핑,7380505.0,2333378.0,2.1,216.3
202308,서울특별시,대형쇼핑몰,1.14484665E8,4.3813822E7,33.3,161.3
202308,서울특별시,관광유원시설,620930.0,136699.0,0.2,354.2
202308,서울특별시,골프장,254336.0,218895.0,0.1,16.2
202308,서울특별시,기타레저,580.0,325.0,0.0,78.3
202308,서울특별시,문화서비스,1445378.0,300118.0,0.4,381.6
202308,서울특별시,식음료,6.5027998E7,2.7672188E7,18.9,135.0
202308,서울특별시,육상운송,221993.0,71399.0,0.1,210.9
202308,서울특별시,수상운송,40340.0,42570.0,0.0,-5.2
202308,서울특별시,스키장,0.0,90.0,0.0,-100.0
202308,서울특별시,카지노,2.3056779E7,1.345087E7,6.7,71.4
202309,서울특별시,관광총소비,3.69737234E8,1.70870476E8,100.0,116.4
202309,서울특별시,호텔,8.0113772E7,4.1564906E7,21.7,92.7
202309,서울특별시,콘도,135050.0,69421.0,0.0,94.5
202309,서울특별시,캠핑장/펜션,860.0,530.0,0.0,62.3
202309,서울특별시,기타숙박,1.7052476E7,7875534.0,4.6,116.5
202309,서울특별시,여행업,687957.0,499204.0,0.2,37.8
202309,서울특별시,항공운송,1230826.0,735745.0,0.3,67.3
202309,서울특별시,렌터카,376214.0,181555.0,0.1,107.2
202309,서울특별시,면세점,3.6127636E7,6422051.0,9.8,462.6
202309,서울특별시,관광기념품,5740733.0,716473.0,1.6,701.2
202309,서울특별시,레저용품쇼핑,8185793.0,3169734.0,2.2,158.2
202309,서울특별시,대형쇼핑몰,1.17215663E8,5.579511E7,31.7,110.1
202309,서울특별시,관광유원시설,447693.0,135755.0,0.1,229.8
202309,서울특별시,골프장,409879.0,163496.0,0.1,150.7
202309,서울특별시,기타레저,501.0,533.0,0.0,-6.0
202309,서울특별시,문화서비스,772552.0,466678.0,0.2,65.5
202309,서울특별시,식음료,7.5447928E7,3.5454861E7,20.4,112.8
202309,서울특별시,육상운송,221470.0,76679.0,0.1,188.8
202309,서울특별시,수상운송,41065.0,43849.0,0.0,-6.3
202309,서울특별시,카지노,2.5529166E7,1.7498362E7,6.9,45.9
202310,서울특별시,관광총소비,4.30761223E8,2.43303547E8,100.0,77.0
202310,서울특별시,호텔,9.4878876E7,5.9738768E7,22.0,58.8
202310,서울특별시,콘도,103354.0,95030.0,0.0,8.8
202310,서울특별시,캠핑장/펜션,550.0,90.0,0.0,511.1
202310,서울특별시,기타숙박,2.1082705E7,1.2047101E7,4.9,75.0
202310,서울특별시,여행업,872697.0,590176.0,0.2,47.9
202310,서울특별시,항공운송,1351390.0,1027376.0,0.3,31.5
202310,서울특별시,렌터카,244605.0,267349.0,0.1,-8.5
202310,서울특별시,면세점,3.6349462E7,9174411.0,8.4,296.2
202310,서울특별시,관광기념품,8077602.0,1829033.0,1.9,341.6
202310,서울특별시,레저용품쇼핑,1.0092148E7,4879755.0,2.3,106.8
202310,서울특별시,대형쇼핑몰,1.44448298E8,8.6135431E7,33.5,67.7
202310,서울특별시,관광유원시설,608464.0,163600.0,0.1,271.9
202310,서울특별시,골프장,419469.0,216201.0,0.1,94.0
202310,서울특별시,기타레저,172.0,68.0,0.0,152.9
202310,서울특별시,문화서비스,1027090.0,438944.0,0.2,134.0
202310,서울특별시,식음료,8.7007598E7,4.5988281E7,20.2,89.2
202310,서울특별시,육상운송,263046.0,99608.0,0.1,164.1
202310,서울특별시,수상운송,48133.0,68035.0,0.0,-29.3
202310,서울특별시,카지노,2.3885563E7,2.054429E7,5.5,16.3
202311,서울특별시,관광총소비,3.846043E8,2.15046846E8,100.0,78.8
202311,서울특별시,호텔,7.8581263E7,5.3278607E7,20.4,47.5
202311,서울특별시,콘도,125603.0,52176.0,0.0,140.7
202311,서울특별시,캠핑장/펜션,80.0,580.0,0.0,-86.2
202311,서울특별시,기타숙박,1.7324632E7,1.0596197E7,4.5,63.5
202311,서울특별시,여행업,694484.0,473293.0,0.2,46.7
202311,서울특별시,항공운송,1292826.0,1032953.0,0.3,25.2
202311,서울특별시,렌터카,187233.0,156686.0,0.0,19.5
202311,서울특별시,면세점,3.1237141E7,9705023.0,8.1,221.9
202311,서울특별시,관광기념품,7993330.0,2461660.0,2.1,224.7
202311,서울특별시,레저용품쇼핑,7887091.0,4590135.0,2.1,71.8
202311,서울특별시,대형쇼핑몰,1.30336005E8,7.2634874E7,33.9,79.4
202311,서울특별시,관광유원시설,501391.0,134768.0,0.1,272.0
202311,서울특별시,골프장,356090.0,161119.0,0.1,121.0
202311,서울특별시,기타레저,285.0,277.0,0.0,3.2
202311,서울특별시,문화서비스,553827.0,402171.0,0.1,37.7
202311,서울특별시,식음료,7.8330013E7,4.1292998E7,20.4,89.7
202311,서울특별시,육상운송,256785.0,86850.0,0.1,195.7
202311,서울특별시,수상운송,19880.0,38572.0,0.0,-48.5
202311,서울특별시,카지노,2.8926338E7,1.7947906E7,7.5,61.2
202312,서울특별시,관광총소비,3.91404352E8,2.34685193E8,100.0,66.8
202312,서울특별시,호텔,7.0030071E7,4.8768068E7,17.9,43.6
202312,서울특별시,콘도,154883.0,185919.0,0.0,-16.7
202312,서울특별시,캠핑장/펜션,0.0,140.0,0.0,-100.0
202312,서울특별시,기타숙박,1.5572356E7,1.1444838E7,4.0,36.1
202312,서울특별시,여행업,568947.0,450233.0,0.1,26.4
202312,서울특별시,항공운송,1317475.0,1087771.0,0.3,21.1
202312,서울특별시,렌터카,193289.0,197686.0,0.0,-2.2
202312,서울특별시,면세점,3.2914363E7,1.1960404E7,8.4,175.2
202312,서울특별시,관광기념품,8987463.0,4390088.0,2.3,104.7
202312,서울특별시,레저용품쇼핑,7422036.0,5105255.0,1.9,45.4
202312,서울특별시,대형쇼핑몰,1.46760466E8,7.9214508E7,37.5,85.3
202312,서울특별시,관광유원시설,538512.0,191604.0,0.1,181.1
202312,서울특별시,골프장,395798.0,168032.0,0.1,135.5
202312,서울특별시,기타레저,406.0,111.0,0.0,265.4
202312,서울특별시,문화서비스,498377.0,373718.0,0.1,33.4
202312,서울특별시,식음료,7.6404934E7,4.2365265E7,19.5,80.3
202312,서울특별시,육상운송,188074.0,64163.0,0.0,193.1
202312,서울특별시,수상운송,9734.0,25506.0,0.0,-61.8
202312,서울특별시,카지노,2.9447168E7,2.8691884E7,7.5,2.6
